Periodo,Estado,Clave SIINAH,Tipo de sitio,Centro de trabajo,Tipo de visitantes,Nacionalidad,NÃºmero de visitas
01/01/1997,Ciudad de México,2100100,Museo,Museo Nacional de AntropologÃ­a,Boleto pagado,Extranjeros,38790
01/01/1997,Ciudad de México,2100100,Museo,Museo Nacional de AntropologÃ­a,Entrada sin costo,Nacional,95461
01/01/1997,Ciudad de México,2100200,Museo,Museo Nacional de Historia,Boleto pagado,Extranjeros,7650
01/01/1997,Ciudad de México,2100200,Museo,Museo Nacional de Historia,Entrada sin costo,Nacional,77975
01/01/1997,Ciudad de México,2100300,Museo,Museo Nacional de las Culturas del Mundo,Boleto pagado,Extranjeros,614
01/01/1997,Ciudad de México,2100300,Museo,Museo Nacional de las Culturas del Mundo,Entrada sin costo,Nacional,16004
01/01/1997,Ciudad de México,2100400,Museo,Museo Nacional de las Intervenciones,Boleto pagado,Extranjeros,142
01/01/1997,Ciudad de México,2100400,Museo,Museo Nacional de las Intervenciones,Entrada sin costo,Nacional,9365
01/01/1997,Ciudad de México,2200100,Museo,GalerÃ­a de Historia,Boleto pagado,Extranjeros,204
01/01/1997,Ciudad de México,2200100,Museo,GalerÃ­a de Historia,Entrada sin costo,Nacional,17865
01/01/1997,Ciudad de México,2200200,Museo,Museo de El Carmen,Boleto pagado,Extranjeros,281
01/01/1997,Ciudad de México,2200200,Museo,Museo de El Carmen,Entrada sin costo,Nacional,5474
01/01/1997,Ciudad de México,2500500,Museo,Museo del Templo Mayor,Boleto pagado,Extranjeros,7302
01/01/1997,Ciudad de México,2500500,Museo,Museo del Templo Mayor,Entrada sin costo,Nacional,24475
01/01/1997,Ciudad de México,2600100,Museo,Museo Casa Carranza,Boleto pagado,Extranjeros,41
01/01/1997,Ciudad de México,2600100,Museo,Museo Casa Carranza,Entrada sin costo,Nacional,760
01/01/1997,Ciudad de México,2700100,Museo,"Centro Comunitario CulhuacÃ¡n, Ex Convento de San Juan Evangelista",Entrada sin costo,Nacional,397
01/02/1997,Ciudad de México,2100100,Museo,Museo Nacional de AntropologÃ­a,Boleto pagado,Extranjeros,38587
01/02/1997,Ciudad de México,2100100,Museo,Museo Nacional de AntropologÃ­a,Entrada sin costo,Nacional,126214
01/02/1997,Ciudad de México,2100200,Museo,Museo Nacional de Historia,Boleto pagado,Extranjeros,6648
01/02/1997,Ciudad de México,2100200,Museo,Museo Nacional de Historia,Entrada sin costo,Nacional,103637
01/02/1997,Ciudad de México,2100300,Museo,Museo Nacional de las Culturas del Mundo,Boleto pagado,Extranjeros,636
01/02/1997,Ciudad de México,2100300,Museo,Museo Nacional de las Culturas del Mundo,Entrada sin costo,Nacional,15836
01/02/1997,Ciudad de México,2100400,Museo,Museo Nacional de las Intervenciones,Boleto pagado,Extranjeros,105
01/02/1997,Ciudad de México,2100400,Museo,Museo Nacional de las Intervenciones,Entrada sin costo,Nacional,10413
01/02/1997,Ciudad de México,2200100,Museo,GalerÃ­a de Historia,Boleto pagado,Extranjeros,273
01/02/1997,Ciudad de México,2200100,Museo,GalerÃ­a de Historia,Entrada sin costo,Nacional,24861
01/02/1997,Ciudad de México,2200200,Museo,Museo de El Carmen,Boleto pagado,Extranjeros,190
01/02/1997,Ciudad de México,2200200,Museo,Museo de El Carmen,Entrada sin costo,Nacional,6041
01/02/1997,Ciudad de México,2500500,Museo,Museo del Templo Mayor,Boleto pagado,Extranjeros,7178
01/02/1997,Ciudad de México,2500500,Museo,Museo del Templo Mayor,Entrada sin costo,Nacional,25141
01/02/1997,Ciudad de México,2600100,Museo,Museo Casa Carranza,Boleto pagado,Extranjeros,27
01/02/1997,Ciudad de México,2600100,Museo,Museo Casa Carranza,Entrada sin costo,Nacional,1047
01/02/1997,Ciudad de México,2700100,Museo,"Centro Comunitario CulhuacÃ¡n, Ex Convento de San Juan Evangelista",Entrada sin costo,Nacional,442
01/03/1997,Ciudad de México,2100100,Museo,Museo Nacional de AntropologÃ­a,Boleto pagado,Extranjeros,42522
01/03/1997,Ciudad de México,2100100,Museo,Museo Nacional de AntropologÃ­a,Entrada sin costo,Nacional,156337
01/03/1997,Ciudad de México,2100200,Museo,Museo Nacional de Historia,Boleto pagado,Extranjeros,13909
01/03/1997,Ciudad de México,2100200,Museo,Museo Nacional de Historia,Entrada sin costo,Nacional,145962
01/03/1997,Ciudad de México,2100300,Museo,Museo Nacional de las Culturas del Mundo,Boleto pagado,Extranjeros,563
01/03/1997,Ciudad de México,2100300,Museo,Museo Nacional de las Culturas del Mundo,Entrada sin costo,Nacional,14419
01/03/1997,Ciudad de México,2100400,Museo,Museo Nacional de las Intervenciones,Boleto pagado,Extranjeros,72
01/03/1997,Ciudad de México,2100400,Museo,Museo Nacional de las Intervenciones,Entrada sin costo,Nacional,12018
